online,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请保留好转账操作单据作为核对证明。<br>*如出现提交失败或者充值未到账等情况，请联系客服获取帮助。
company,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先查看要入款的银行账号信息，然后通过网上银行或者手机银行进行转账，转账成功后再如实提交转账信息，财务专员查收到信息后会及时添加您的款项。<br>*请尽可能的选择同行转账，可快速到账。<br>存款完成后，保留单据以利于核对并确保您的利益，<br>*如出现提交失败或者充值未到账等情况，请联系客服获取帮助。
wechat,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先搜索账号或扫描二维码添加好友，<br>*支付成功后请等待几秒钟，提示 「支付成功」 按确认键后再关闭窗口。<br>*如出现提交失败或者充值未到账等情况，请联系客服获取帮助。
alipay,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先搜索账号或扫描二维码添加好友，<br>*支付成功后，请等待几秒钟，提示 「支付成功」 按确认键后再关闭窗口。<br>*如出现提交失败或者充值未到账等情况，请联系客服获取帮助。
qq,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先搜索账号或扫描二维码添加好友，<br>*支付成功后，请等待几秒钟，提示 「支付成功」 请按确认键后再关闭支付窗口。<br>*如出现充值失败或充值后未到账情况，请联系在线客服获取帮助
jd,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先搜索账号或扫描二维码添加好友，<br>*存款金额加以小数点或尾数，以便区别，如充值200元，请输入201或200.1之类的小数。<br>*支付成功后，请等待几秒钟，提示 「支付成功」 请按确认键后再关闭支付窗口。<br>*如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
bd,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先搜索账号或扫描二维码添加好友，<br>*存款金额加以小数点或尾数，以便区别，如充值200元，请输入201或200.1之类的小数。<br>*支付成功后，请等待几秒钟，提示 「支付成功」 请按确认键后再关闭支付窗口。<br>*如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
bitcoin,,*为了方便系统快速完成转账，请输入正确的txId，交易时间，以加快系统入款速度。<br>*如出现充值失败或充值后未到账等情况，请联系在线客服获取帮助
onecodepay,* 存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*五码合一，使用网银，支付宝，微信，qq钱包，京东钱包均可扫描二维码进行转账存款。<br>*支付成功后，请等待几秒钟，提示 「支付成功」 请按确认键后再关闭支付窗口。<br>*如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
other,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请先搜索账号或者扫描二维码添加好友，<br>*支付成功后，请等待几秒钟，提示 「支付成功」 请按确认键后再关闭支付窗口。<br>*如出现充值失败或充值后未到账情况，请联系在线客服获取帮助。
unionpay,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*请保留好转账操作单据作为核对证明。<br>*如出现提交失败或者充值未到账等情况，请联系客服获取帮助。
counter,*存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*先查看要入款的银行账号信息，通过柜员机或者人工进行转账，转账成功后再如实提交转账信息，财务专员收到入款信息后将及时添加您的款项。<br>*请尽可能的选择同行转账以便快速到账。<br>*存款完成后，保留单据以便核对信息并确保您的利益。<br>*如出现提交失败或者充值未到账等情况，请联系客服获取帮助。
easy,,*当前支付额度必须精确到小数点，请严格核对您的转账金额精确到分，如：100.51，否则无法提高对账速度及成功率，谢谢您的配合。
default,* 存款金额请加以小数点或尾数，以便区别。如充值200元，请输入201元或200.1之类小数。,*如出现充值失败或充值未到账情况，请联系客服获取帮助。
